,study_hours_per_day,sleep_hours,stress_level,focus_score,productivity_score
238,4.39,5.91,8,52,33.11
239,8.6,8.68,7,94,73.95
240,4.1,9.26,3,63,56.0
241,9.13,7.51,7,58,69.92
242,8.74,5.75,4,46,66.04
243,1.09,7.24,3,73,28.31
244,3.4,4.25,8,49,32.26
245,9.15,3.21,8,53,48.73
246,0.78,3.52,2,90,30.52
247,7.78,3.76,9,80,56.28
248,9.11,4.58,3,70,60.96
249,7.82,6.23,2,45,62.47
250,7.57,4.63,4,78,61.11
251,8.51,7.1,9,62,68.18
252,6.83,9.99,9,67,59.06
253,4.52,6.49,2,33,47.03
254,1.1,8.3,2,77,48.93
255,7.99,5.05,2,85,76.53
256,9.1,9.74,2,85,88.33
257,5.36,4.74,5,56,43.16
258,5.56,7.18,5,34,54.45
259,4.33,9.88,2,96,74.26
260,8.64,8.66,7,99,74.25
261,0.64,9.94,5,55,41.33
262,6.43,5.66,7,62,50.72
263,9.12,3.54,6,63,60.52
264,1.48,4.7,1,70,43.6
265,9.61,9.7,2,36,68.71
266,9.69,5.59,10,98,73.01
267,9.33,3.87,9,70,52.05
268,4.89,7.15,2,85,65.23
269,4.14,6.5,4,75,47.38
270,7.21,3.44,3,35,38.21
271,3.53,6.17,8,35,39.99
272,1.15,7.43,1,42,37.26
273,9.06,4.63,5,36,53.57
274,6.53,3.87,6,54,40.81
275,2.47,9.05,8,81,53.37
276,0.67,7.38,5,63,33.35
277,7.37,4.09,6,49,49.77
278,8.6,7.4,2,93,72.03
279,4.35,8.15,4,57,44.23
280,1.27,7.18,6,94,41.0
281,6.66,3.81,2,96,65.07
282,3.32,3.87,5,87,36.63
283,1.87,3.32,1,64,31.22
284,5.35,4.64,10,58,25.58
285,5.08,3.42,1,67,51.45
286,5.41,8.64,6,83,60.47
287,8.33,3.11,10,64,56.4
288,5.1,7.07,4,56,48.72
289,9.06,8.67,5,79,85.4
290,8.5,9.26,8,96,75.86
291,6.69,5.87,9,77,57.12
292,1.04,7.35,2,33,39.91
293,8.72,9.66,2,35,59.39
294,9.1,7.7,2,50,73.97
295,4.06,9.31,6,90,62.86
296,5.5,7.79,7,96,68.22
297,3.17,3.48,3,54,34.26
298,0.64,4.38,5,30,20.39
299,5.05,9.58,4,34,39.25
300,1.73,8.91,10,49,25.42
301,2.24,5.96,5,97,44.99
302,5.07,4.13,3,95,58.13
303,8.74,4.1,7,32,45.43
304,8.52,9.33,6,71,71.27
305,9.67,4.16,6,77,56.15
306,5.09,5.7,3,48,39.84
307,5.74,9.31,3,82,67.01
308,8.31,3.23,3,45,53.63
309,7.15,7.42,6,68,51.85
310,2.24,5.45,2,41,28.79
311,4.28,3.75,8,59,30.24
312,9.33,6.97,1,74,73.1
313,1.89,6.39,6,81,32.46
314,2.49,3.69,5,65,25.75
315,4.31,4.87,2,78,54.39
316,9.43,8.18,8,69,76.53
317,1.58,8.29,8,77,38.78
318,6.89,7.19,9,76,52.12
319,1.76,3.77,7,97,34.84
320,5.48,8.97,5,67,50.5
321,5.6,4.21,9,83,50.06
322,0.9,8.05,2,32,29.22
323,9.56,3.3,2,95,73.12
324,8.16,5.32,9,90,72.25
325,3.38,6.35,9,84,50.99
326,1.74,3.2,8,83,27.7
327,3.78,4.2,4,69,32.73
328,9.0,5.23,1,96,75.34
329,1.76,9.88,1,68,58.59
330,3.82,8.46,1,97,63.74
331,5.2,8.88,3,67,56.62
332,0.81,7.67,5,61,38.69
333,3.05,5.05,10,60,39.12
334,6.16,7.97,6,40,50.09
335,3.58,7.72,9,33,29.03
336,8.77,7.27,5,36,61.96
337,9.4,5.09,9,66,59.17
338,4.69,4.84,4,44,33.55
339,5.55,5.35,5,53,41.09
340,6.49,5.19,2,82,59.96
341,6.81,3.54,4,90,51.06
342,1.1,8.62,4,65,42.81
343,1.01,5.58,3,77,35.81
344,8.72,7.95,7,92,77.21
345,2.59,4.96,5,57,42.28
346,6.05,7.21,8,47,44.03
347,6.43,3.24,7,87,53.5
348,2.06,3.74,5,86,41.22
349,7.74,5.55,6,52,50.26
350,8.73,4.88,7,57,64.8
351,3.21,5.47,2,49,32.62
352,8.84,9.51,4,44,64.93
353,1.27,3.52,9,91,28.97
354,8.1,6.24,5,77,67.27
355,6.58,4.39,5,33,35.96
356,6.04,5.49,4,94,64.24
357,2.69,7.74,1,80,51.63
358,3.94,9.81,5,47,48.87
359,9.15,7.86,1,84,89.33
360,4.92,9.19,1,37,62.08
361,6.15,4.03,3,63,42.74
362,9.39,4.27,1,49,60.35
363,4.93,9.14,8,72,56.24
364,4.19,7.25,8,60,40.51
365,8.99,8.54,7,44,58.24
366,9.15,4.56,10,41,44.25
367,3.87,5.44,4,36,27.87
368,6.12,3.57,8,81,47.65
369,9.66,9.27,2,73,76.18
370,1.03,9.69,3,62,38.18
371,0.88,9.0,5,79,49.51
372,5.41,6.06,9,85,49.12
373,3.27,5.39,2,93,47.36
374,6.03,6.24,4,83,61.98
375,7.38,7.46,2,66,65.75
376,1.16,6.02,7,86,35.12
377,8.88,5.95,7,74,66.92
378,3.13,6.02,4,44,41.07
379,4.12,8.21,6,59,54.17
380,3.7,8.51,8,46,47.26
381,8.48,9.09,1,51,67.32
382,2.12,4.7,5,55,25.91
383,0.77,4.1,4,42,21.57
384,9.73,5.42,10,43,57.43
385,9.82,5.94,6,76,82.33
386,2.95,7.91,3,50,45.59
387,0.59,8.31,7,86,52.88
388,6.64,9.89,7,78,64.01
389,6.66,5.65,3,47,38.32
390,9.43,5.82,3,34,61.7
391,3.34,6.79,7,79,47.74
392,2.3,8.74,1,58,56.31
393,6.36,7.63,2,70,56.61
394,5.85,7.01,4,73,65.55
395,7.32,7.54,8,99,66.91
396,8.91,6.25,9,41,53.43
397,5.82,8.31,5,56,56.4
398,1.93,3.53,8,72,35.08
399,6.18,6.56,1,37,42.47
400,4.05,8.65,1,81,55.32
401,4.8,5.12,3,90,63.21
402,9.62,8.9,1,84,82.25
403,5.77,8.48,10,72,53.81
404,1.92,7.06,3,95,56.84
405,4.71,4.77,8,44,28.78
406,2.67,9.03,2,95,65.03
407,1.79,3.21,6,99,37.52
408,7.27,7.15,6,40,51.42
409,6.47,8.48,2,57,58.53
410,5.23,6.4,6,73,55.15
411,4.52,3.72,1,95,49.59
412,3.56,8.84,10,48,32.9
413,1.34,9.36,4,76,36.22
414,3.34,6.94,5,89,50.25
415,8.46,8.51,6,55,70.91
416,7.94,7.28,3,96,77.74
417,9.74,7.01,7,74,81.3
418,6.73,3.92,1,75,61.62
419,5.76,6.06,1,88,56.81
420,3.31,7.75,4,33,43.57
421,1.23,6.18,1,53,32.13
422,6.37,7.32,8,44,47.86
423,5.14,9.26,1,30,42.35
424,7.71,5.56,10,79,48.74
425,4.41,8.8,6,82,60.83
426,9.86,3.2,9,76,62.49
427,4.28,8.97,3,57,41.89
428,3.66,3.75,4,40,27.17
429,8.77,5.25,5,57,55.33
430,4.26,6.59,2,30,41.22
431,8.77,7.55,4,35,62.25
432,0.76,9.67,3,75,40.0
433,7.08,5.15,8,56,45.13
434,1.18,3.6,3,60,22.17
435,1.91,6.21,6,44,35.08
436,7.15,5.42,1,70,57.88
437,3.25,7.2,7,35,34.53
438,2.5,9.46,10,77,48.03
439,8.11,7.5,6,67,62.26
440,9.49,7.05,1,55,62.26
441,2.71,4.72,10,91,28.21
442,3.51,4.85,3,63,48.93
443,7.28,6.05,10,32,42.71
444,8.25,9.24,1,83,85.44
445,9.99,7.06,6,31,60.82
446,3.1,6.46,5,71,39.63
447,5.79,6.8,8,48,39.98
448,1.77,8.84,2,65,41.9
449,3.64,7.75,7,35,35.4
450,0.93,9.49,9,49,20.16
451,2.5,7.07,7,61,38.74
452,5.31,4.37,7,83,47.12
453,2.06,3.13,1,59,34.99
454,8.95,5.22,2,50,69.01
455,7.25,3.44,2,47,58.96
456,0.76,5.85,10,32,6.56
457,8.83,4.32,3,75,72.69
458,9.78,5.83,2,32,56.12
459,5.27,5.79,5,95,55.26
460,3.49,4.93,8,52,24.14
461,3.0,7.57,1,89,55.36
462,1.33,6.03,9,83,32.62
463,5.17,9.25,5,74,63.83
464,0.98,3.53,1,85,43.55
465,5.29,5.87,3,46,48.03
466,2.9,8.43,4,32,44.75
467,5.03,6.46,1,72,67.74
468,4.47,9.76,4,51,50.63
469,3.4,4.22,5,84,39.53
470,4.76,5.21,10,34,31.35
471,5.0,3.81,8,77,39.36
472,8.42,4.73,7,38,49.8
473,6.82,7.71,4,99,67.21
474,4.61,6.41,1,56,55.04
475,9.1,4.13,6,58,47.34
476,7.68,6.32,4,53,59.34
477,1.22,8.93,9,38,22.24
478,1.96,6.08,4,50,44.03
479,1.28,3.09,10,85,20.43
480,3.53,3.38,8,55,38.53
481,4.64,6.07,2,47,42.84
482,5.29,7.15,5,62,57.91
483,8.59,9.21,6,76,86.52
484,0.67,9.87,4,95,53.48
485,4.57,9.86,7,77,55.69
486,4.4,6.91,10,75,52.25
487,9.5,3.25,4,62,68.34
488,2.79,4.49,7,31,12.74
489,1.66,6.04,9,50,28.03
490,1.85,9.16,5,55,46.58
491,5.44,3.15,1,90,59.56
492,4.21,6.57,7,91,57.51
493,7.66,7.57,4,77,80.74
494,3.57,5.02,7,55,25.19
495,1.72,5.21,5,46,13.49
496,4.18,5.72,6,95,56.46
497,8.89,4.92,7,53,57.02
498,4.35,6.06,5,56,31.25
499,8.42,4.11,8,68,53.3
500,4.03,4.4,9,73,35.96
501,3.17,3.26,5,51,21.96
502,7.86,5.88,4,76,68.48
503,2.49,7.95,7,94,57.82
504,2.7,6.54,6,66,47.13
505,0.97,6.71,7,80,33.66
506,2.28,6.15,8,68,32.81
507,4.1,7.09,7,67,53.93
508,4.3,4.61,6,31,26.84
509,4.5,4.45,3,52,40.92
510,5.06,9.59,3,31,48.81
511,5.93,6.15,9,42,36.35
512,2.3,8.79,2,71,56.86
513,6.33,9.42,3,81,65.89
514,3.7,7.3,5,73,56.62
515,7.47,5.09,7,46,52.92
516,5.79,7.76,10,36,42.83
517,5.77,6.02,2,91,63.09
518,7.01,9.81,3,35,60.36
519,3.66,8.68,2,65,49.39
520,4.58,8.7,9,99,57.81
521,6.04,7.12,6,68,47.96
522,4.5,3.06,10,31,11.82
523,4.72,8.82,3,35,35.25
524,3.09,3.18,5,85,49.24
525,3.23,3.86,7,78,30.81
526,7.14,8.87,5,48,62.95
527,0.54,4.53,7,58,21.81
528,1.41,8.89,1,85,40.4
529,9.51,4.65,4,48,64.32
530,2.28,8.39,1,36,40.14
531,4.47,6.8,10,70,38.18
532,8.57,7.7,4,84,81.33
533,0.5,8.87,9,37,21.36
534,9.29,9.89,5,83,88.46
535,1.01,3.6,10,94,23.5
536,2.12,7.8,1,41,35.86
537,0.78,9.71,10,36,15.61
538,5.44,5.62,6,33,37.79
539,9.46,5.34,5,93,69.48
540,8.47,7.76,3,85,75.92
541,6.58,5.81,9,41,44.09
542,2.26,4.5,8,65,26.55
543,8.76,4.13,9,45,37.6
544,7.67,4.35,5,84,51.77
545,3.04,7.93,4,94,51.92
546,8.15,9.43,4,44,56.71
547,8.83,8.64,6,62,67.89
548,7.13,6.14,5,48,41.46
549,1.45,6.7,4,62,41.18
550,9.85,7.34,5,95,92.76
551,1.22,7.06,7,54,33.39
552,6.72,9.78,7,82,67.28
553,1.55,9.21,6,30,27.07
554,9.1,3.3,2,37,51.77
555,3.82,8.85,10,53,37.08
556,5.36,3.8,6,49,41.44
557,2.2,7.83,10,91,53.36
558,5.69,5.0,5,57,43.71
559,9.42,8.41,7,89,89.09
560,9.07,3.06,6,83,55.97
561,1.11,5.68,9,80,32.44
562,4.09,3.15,5,82,47.75
563,3.04,9.67,8,99,59.54
564,5.07,3.11,2,49,39.75
565,8.42,4.09,8,62,46.0
566,7.52,6.77,8,82,61.01
567,3.77,7.52,5,36,48.21
568,4.14,8.1,2,63,39.03
569,6.72,4.73,6,86,57.3
570,2.35,5.11,5,70,26.45
571,1.48,4.68,1,30,26.28
572,2.8,4.71,6,83,42.64
573,1.68,8.47,7,79,48.4
574,3.84,9.64,7,87,67.83
575,9.41,7.17,4,76,78.9
576,1.64,4.1,2,96,30.44
577,8.27,3.46,8,67,42.07
578,5.58,4.67,2,32,26.37
579,6.51,4.24,4,59,46.32
580,2.12,7.05,5,35,29.91
581,1.94,7.89,7,98,54.01
582,2.05,3.03,5,75,36.98
583,6.84,6.08,7,32,37.62
584,7.6,7.36,6,93,69.23
585,9.24,4.35,9,33,42.45
586,4.28,9.31,9,43,38.26
587,4.89,6.84,9,34,27.91
588,4.96,5.42,3,43,31.52
589,3.06,3.13,3,98,51.17
590,3.62,6.39,4,79,41.74
591,8.54,5.35,1,70,63.87
592,3.77,9.79,10,77,55.54
593,8.76,5.65,7,85,66.44
594,3.4,9.45,5,90,64.47
595,3.73,7.8,10,80,40.88
596,5.82,3.52,8,52,45.76
597,1.48,9.53,7,93,51.21
598,9.26,4.18,2,79,67.22
599,8.29,6.14,3,81,62.21
600,6.87,9.46,4,92,78.67
601,9.89,8.8,4,68,77.32
602,0.65,6.41,6,49,22.2
603,4.41,4.45,4,67,48.39
604,8.65,6.56,8,77,57.07
605,4.61,6.83,8,31,41.67
606,0.55,9.98,4,53,41.19
607,2.0,8.77,2,34,33.98
608,4.62,9.03,6,86,53.95
609,6.85,9.9,2,77,63.69
610,2.05,6.66,7,77,34.21
611,4.76,7.1,2,63,56.95
612,0.62,6.18,1,89,38.73
613,5.04,3.88,8,38,35.0
614,9.01,6.68,7,52,48.15
615,6.17,7.08,10,51,38.47
616,4.69,4.66,8,53,41.9
617,2.04,8.48,3,87,52.56
618,2.42,3.87,9,50,20.26
619,1.23,6.51,8,67,32.76
620,7.55,7.64,10,39,46.65
621,1.23,3.38,5,35,18.98
622,4.15,8.63,2,81,63.32
623,7.62,5.13,10,72,61.14
624,7.27,8.02,7,38,59.36
625,5.99,3.76,8,80,49.82
626,5.93,7.34,2,91,65.06
627,1.36,6.9,10,95,34.03
628,2.16,4.05,4,69,32.75
629,5.58,7.37,8,81,62.28
630,3.81,7.84,1,43,48.02
631,0.68,6.49,1,30,20.18
632,8.08,7.05,4,49,60.68
633,6.71,9.21,9,56,57.7
634,3.59,7.88,5,74,50.37
635,1.43,9.34,1,44,42.55
636,6.12,6.87,9,82,44.2
637,3.81,4.22,6,53,40.66
638,2.93,4.72,3,72,46.59
639,7.35,4.23,3,60,57.14
640,3.62,5.35,4,56,46.88
641,1.79,6.34,7,65,28.15
642,5.08,4.79,1,87,56.92
643,8.37,6.33,9,60,71.15
644,8.57,5.55,3,94,72.89
645,8.57,6.89,3,49,61.66
646,4.5,6.0,5,48,35.33
647,8.01,6.04,9,45,45.16
648,8.58,6.43,4,56,63.34
649,4.87,9.92,9,85,54.73
650,3.53,6.9,3,42,31.51
651,7.17,8.06,5,35,50.6
652,9.09,5.92,7,77,58.01
653,9.74,5.28,3,86,72.15
654,3.26,9.42,2,70,58.23
655,9.58,8.2,7,81,82.2
656,5.24,7.08,8,88,57.54
657,3.41,5.36,6,39,38.88
658,9.89,4.81,4,30,61.04
659,8.84,4.76,1,53,66.73
660,7.08,6.53,1,57,64.71
661,9.0,9.12,1,49,65.44
662,6.97,9.17,1,86,73.97
663,4.68,8.21,9,98,49.57
664,9.51,6.8,10,91,66.52
665,9.65,4.64,4,65,58.44
666,3.48,6.35,9,35,29.99
667,3.87,7.86,10,99,59.07
668,4.14,7.17,2,61,49.04
669,8.31,6.6,7,79,59.79
670,8.02,6.0,9,59,56.71
671,9.84,8.27,1,64,86.57
672,4.92,8.9,8,80,49.97
673,7.5,8.06,7,83,58.11
674,8.64,9.57,6,80,71.49
675,2.6,8.46,10,59,32.89
676,6.4,6.15,5,56,48.05
677,5.7,7.32,3,43,49.72
678,7.56,6.53,3,88,75.21
679,7.11,6.82,7,57,50.08
680,8.22,9.27,1,83,78.99
681,3.46,5.11,10,32,23.43
682,2.56,3.09,8,62,12.77
683,8.15,7.87,5,60,60.4
684,3.93,4.27,3,73,45.85
685,3.23,4.08,8,56,28.83
686,3.7,9.95,8,81,52.96
687,1.13,4.87,9,97,43.01
688,7.84,4.43,8,50,52.33
689,7.29,4.34,10,42,43.62
690,5.75,5.89,7,77,56.37
691,7.3,5.87,7,78,65.32
692,4.04,7.43,4,79,55.41
693,3.31,3.73,10,47,29.87
694,8.69,7.45,9,58,57.55
695,4.51,6.18,1,34,46.59
696,2.36,4.45,10,42,8.72
697,7.62,8.45,8,94,76.31
698,3.69,6.32,6,80,36.91
699,2.51,8.02,3,55,50.83
700,0.76,9.44,8,37,26.74
701,9.72,5.47,6,30,50.52
702,4.94,9.29,2,84,62.67
703,2.04,4.4,5,83,38.19
704,7.7,4.55,9,86,50.83
705,8.93,7.65,7,70,72.05
706,5.52,3.72,6,31,42.49
707,0.77,6.18,1,45,35.58
708,3.97,4.5,9,63,30.17
709,2.81,7.0,6,96,54.0
710,6.55,8.65,4,46,59.25
711,5.43,3.3,4,57,44.37
712,3.88,5.89,10,70,35.03
713,6.66,8.11,6,80,67.11
714,6.05,5.4,9,39,33.3
715,9.11,3.29,4,90,73.84
716,6.17,7.14,5,78,55.22
717,5.32,3.84,8,45,33.41
718,8.32,5.59,2,65,59.34
719,2.42,9.93,2,71,52.75
720,2.81,5.79,1,47,31.0
721,7.94,8.9,9,59,66.06
722,4.7,9.02,2,32,51.33
723,4.39,4.84,4,47,38.12
724,8.93,7.17,2,80,86.28
725,6.3,9.63,5,35,57.91
726,8.13,7.24,7,69,56.61
727,8.19,8.69,4,76,69.54
728,1.64,6.24,4,56,19.26
729,6.71,8.04,7,47,66.03
730,9.55,3.15,1,95,81.06
731,5.06,8.51,5,66,63.37
732,7.46,7.7,9,49,47.3
733,5.88,5.51,10,36,40.2
734,2.45,5.92,9,93,49.24
735,2.35,5.29,6,80,41.91
736,4.62,6.67,1,41,39.05
737,5.09,3.76,2,90,53.24
738,5.28,8.91,10,56,59.71
739,9.57,6.35,5,73,71.5
740,1.45,3.3,5,78,38.85
741,4.12,6.87,2,50,48.81
742,5.39,9.51,6,47,47.84
743,9.65,3.61,6,58,50.69
744,5.29,3.86,1,69,48.47
745,7.87,5.71,5,99,75.79
746,7.62,8.15,8,43,58.37
747,5.88,7.23,7,49,48.25
748,1.74,6.21,8,87,34.65
749,2.58,9.95,8,43,27.94
750,2.78,4.3,9,63,36.54
751,0.87,8.75,3,37,28.4
752,4.1,3.87,2,72,54.31
753,6.3,4.26,9,43,39.3
754,1.87,5.07,1,90,50.3
755,2.16,9.11,5,51,47.79
756,7.22,6.11,3,61,49.62
757,2.11,5.77,10,79,46.53
758,1.79,6.44,1,38,31.96
759,9.79,7.42,7,92,78.68
760,0.64,5.96,8,70,35.8
761,3.59,9.74,10,98,61.89
762,0.83,3.95,7,43,5.29
763,8.46,6.33,1,65,76.9
764,6.04,5.91,5,83,68.72
765,0.96,7.85,2,75,52.23
766,6.35,9.74,5,47,61.01
767,1.67,5.02,9,66,15.13
768,5.21,9.69,5,80,77.61
769,6.86,8.79,7,36,47.16
770,1.91,8.67,3,81,40.74
771,5.22,3.51,5,47,37.63
772,4.85,9.58,3,77,57.9
773,9.2,8.87,9,59,74.2
